Room@PAR.Bahamas,FR.Bahamas@dimensiondata.com,3,3.52,3,Meeting Visio
Room@PAR.Boabab,FR.Boabab@dimensiondata.com,4,4.26,4,Meeting Bubble
Room@PAR.Bordeaux,FR.Bordeaux@dimensiondata.com,0,0.21,6,Meeting
Room@PAR.Bourgogne,FR.Bourgogne@dimensiondata.com,0,0.22,6,Meeting Visio
Room@PAR.Canaries,FR.Canaries@dimensiondata.com,3,3.56,3,Meeting Bubble
Room@PAR.Concorde,FR.Concorde@dimensiondata.com,4,4.15,14,Meeting Boardroom
Room@PAR.Cypres,FR.Cypres@dimensiondata.com,4,4.27,2,Meeting Bubble
Room@PAR.Erable,FR.Erable@dimensiondata.com,4,4.24,3,Meeting Bubble
Room@PAR.Fidji,FR.Fidji@dimensiondata.com,3,3.51,3,Meeting Visio priorité HR
Room@PAR.Hawai,FR.Hawai@dimensiondata.com,3,3.62,8,Meeting Visio
Room@PAR.Java,FR.Java@dimensiondata.com,3,3.57,2,Meeting Bubble
Room@PAR.Jersey,FR.Jersey@dimensiondata.com,3,3.30a,2,Meeting Bubble
Room@PAR.Maldives,FR.Maldives@dimensiondata.com,3,3.51,3,Meeting Visio priorité HR
Room@PAR.Peuplier,FR.Peuplier@dimensiondata.com,4,4.23,2,Meeting Bubble
Room@PAR.Philippines,FR.Philippines@dimensiondata.com,3,3.55,5,Meeting
Room@PAR.Sapin,FR.Sapin@dimensiondata.com,4,4.16,5,Meeting War Room
Room@PAR.Sequoia,FR.Sequoia@dimensiondata.com,4,4.04,5,Meeting Visio
Room@PAR.Seychelles,FR.Seychelles@dimensiondata.com,3,3.30b,2,Meeting Bubble
Room@PAR.Sumatra,FR.Sumatra@dimensiondata.com,3,3.54,6,Meeting Visio
Room@PAR.Tahiti,fr.tahiti@eu.didata.com,3,3.58,12,Meeting Visio VIP
